0.0000, 0.0000, 0.0000, 0.0000
0.1000, -0.0344, 0.1000, -0.0344
0.2000, -0.0688, 0.2000, -0.0686
0.3000, -0.1029, 0.3000, -0.1027
0.4000, -0.1369, 0.4000, -0.1365
0.5000, -0.1705, 0.5000, -0.1701
0.6000, -0.2037, 0.6000, -0.2032
0.7000, -0.2363, 0.7000, -0.2358
0.8000, -0.2685, 0.8000, -0.2678
0.9000, -0.2999, 0.9000, -0.2992
1.0000, -0.3306, 1.0000, -0.3298
1.1000, -0.3605, 1.1000, -0.3596
1.2000, -0.3895, 1.2000, -0.3885
1.3000, -0.4174, 1.3000, -0.4164
1.4000, -0.4443, 1.4000, -0.4432
1.5000, -0.4701, 1.5000, -0.4688
1.6000, -0.4946, 1.6000, -0.4933
1.7000, -0.5178, 1.7000, -0.5164
1.8000, -0.5396, 1.8000, -0.5381
1.9000, -0.5599, 1.9000, -0.5583
2.0000, -0.5786, 2.0000, -0.5769
2.1000, -0.5956, 2.1000, -0.5939
2.2000, -0.6110, 2.2000, -0.6092
2.3000, -0.6245, 2.3000, -0.6226
2.4000, -0.6361, 2.4000, -0.6341
2.5000, -0.6457, 2.5000, -0.6437
2.6000, -0.6533, 2.6000, -0.6511
2.7000, -0.6587, 2.7000, -0.6565
2.8000, -0.6619, 2.8000, -0.6596
2.9000, -0.6628, 2.9000, -0.6604
3.0000, -0.6612, 3.0000, -0.6587
3.1000, -0.6572, 3.1000, -0.6547
3.2000, -0.6506, 3.2000, -0.6480
3.3000, -0.6414, 3.3000, -0.6387
3.4000, -0.6295, 3.4000, -0.6267
3.5000, -0.6147, 3.5000, -0.6118
3.6000, -0.5971, 3.6000, -0.5941
3.7000, -0.5765, 3.7000, -0.5734
3.8000, -0.5528, 3.8000, -0.5496
3.9000, -0.5260, 3.9000, -0.5227
4.0000, -0.4959, 4.0000, -0.4926
4.1000, -0.4626, 4.1000, -0.4592
4.2000, -0.4258, 4.2000, -0.4224
4.3000, -0.3856, 4.3000, -0.3821
4.4000, -0.3419, 4.4000, -0.3382
4.5000, -0.2945, 4.5000, -0.2907
4.6000, -0.2433, 4.6000, -0.2395
4.7000, -0.1884, 4.7000, -0.1845
4.8000, -0.1296, 4.8000, -0.1256
4.9000, -0.0668, 4.9000, -0.0547
5.0000, 0.0000, 5.0000, 0.0202
5.1000, 0.1031, 5.1000, 0.1134
5.2000, 0.2105, 5.2000, 0.2168
5.3000, 0.3222, 5.3000, 0.3272
5.4000, 0.4384, 5.4000, 0.4430
5.5000, 0.5592, 5.5000, 0.5637
5.6000, 0.6846, 5.6000, 0.6893
5.7000, 0.8150, 5.7000, 0.8198
5.8000, 0.9502, 5.8000, 0.9552
5.9000, 1.0905, 5.9000, 1.0956
6.0000, 1.2360, 6.0000, 1.2412
6.1000, 1.3867, 6.1000, 1.3921
6.2000, 1.5429, 6.2000, 1.5484
6.3000, 1.7045, 6.3000, 1.7101
6.4000, 1.8718, 6.4000, 1.8775
6.5000, 2.0448, 6.5000, 2.0507
6.6000, 2.2237, 6.6000, 2.2296
6.7000, 2.4085, 6.7000, 2.4146
6.8000, 2.5994, 6.8000, 2.6056
6.9000, 2.7966, 6.9000, 2.7997
7.0000, 3.0000, 7.0000, 3.0000
